file	version__name	bytes	sha256_16
001__20260331123234__drop_obsolete_prospects_column.sql	20260331123234__drop_obsolete_prospects_column	62	bfe3748c6c7e4275
002__20260627170152__create_audit_leads_table.sql	20260627170152__create_audit_leads_table	1137	3e63c9975d483423
003__20260702012359__create_client_roadmaps.sql	20260702012359__create_client_roadmaps	2414	8521c840f6089260
004__20260702012434__allow_anon_insert_roadmaps.sql	20260702012434__allow_anon_insert_roadmaps	97	b71b8e24e54f004c
005__20260702014701__auto_roadmap_from_scan.sql	20260702014701__auto_roadmap_from_scan	7568	222118c37f51b0af
006__20260702020842__roadmap_rpc_and_lead_link.sql	20260702020842__roadmap_rpc_and_lead_link	3755	184d37905642ab4e
007__20260703204620__crm_v1_deals_pipeline.sql	20260703204620__crm_v1_deals_pipeline	6753	1f4c9feee8e5d332
008__20260703221155__client_portal_v1.sql	20260703221155__client_portal_v1	7389	bd427a9d74019e74
009__20260706231127__engagement_schedule_v1.sql	20260706231127__engagement_schedule_v1	5411	72423292748792e9
010__20260706232704__engagement_schedule_rpc_and_triggers.sql	20260706232704__engagement_schedule_rpc_and_triggers	5694	743f45355502351a
011__20260706232725__fix_create_engagement_from_roadmap_idempotency_check.sql	20260706232725__fix_create_engagement_from_roadmap_idempotency_check	2613	8bf338981d5b2b30
012__20260707011556__enable_rls_structtech_state.sql	20260707011556__enable_rls_structtech_state	63	ee7e26973db6b6f0
013__20260707011611__staff_auth_infrastructure.sql	20260707011611__staff_auth_infrastructure	2397	506d952a687d99f8
014__20260707012035__fix_staff_users_recursive_rls.sql	20260707012035__fix_staff_users_recursive_rls	366	bc1922ff1ac3a62d
015__20260707012143__staff_scoped_access_policies.sql	20260707012143__staff_scoped_access_policies	2373	67a8334876f180e6
016__20260707013828__drop_anon_admin_access.sql	20260707013828__drop_anon_admin_access	1418	8de334a0ac33c0d9
017__20260707014514__staff_management_settings.sql	20260707014514__staff_management_settings	1425	ac04a336091fe8a5
018__20260707021116__pipeline_schema_v1.sql	20260707021116__pipeline_schema_v1	10030	bc4d37d128b6b444
019__20260712232456__20260712150000_drop_stale_deals_stage_check.sql	20260712232456__20260712150000_drop_stale_deals_stage_check	70	3f7f5e606ab2bc9c
020__20260716000014__crm_depth_stage3_lead_control_center_config_seed.sql	20260716000014__crm_depth_stage3_lead_control_center_config_seed	13794	c61af94c6000673e
021__20260717022050__lead_control_center_fix_pass.sql	20260717022050__lead_control_center_fix_pass	2311	075eb12f80112b0c
022__20260717022643__update_intake_checklist_field_null_safety.sql	20260717022643__update_intake_checklist_field_null_safety	1173	5a9b60df20ab4f80
023__20260717023704__create_estimate_from_deal_structured_address.sql	20260717023704__create_estimate_from_deal_structured_address	1552	39810ab15698cb84
024__20260717230832__stage5_track_a_security_gate.sql	20260717230832__stage5_track_a_security_gate	6713	3a9c664063c9ac87
025__20260717234023__stage5_track_b1_profile_trigger.sql	20260717234023__stage5_track_b1_profile_trigger	2724	29f55b6974a548fb
026__20260719033943__crm_depth_stage5_track_c2_actor_identity.sql	20260719033943__crm_depth_stage5_track_c2_actor_identity	18267	a0d317e909420015
027__20260719035623__crm_depth_stage5_track_c1_owner_assignment.sql	20260719035623__crm_depth_stage5_track_c1_owner_assignment	3890	3099726c77d841f1
028__20260719041159__crm_depth_stage5_track_c3_edit_by_ownership.sql	20260719041159__crm_depth_stage5_track_c3_edit_by_ownership	17281	ddd2e2676ddc2184
029__20260719195234__tracker_module.sql	20260719195234__tracker_module	20839	ba64f3dcf351096b
030__20260720023901__bmr_migration_staging.sql	20260720023901__bmr_migration_staging	3787	8239f0f0e4c5d23c
